PING 192.168.11.210 (192.168.11.210) 56(84) bytes of data.
64 bytes from 192.168.11.210: icmp_seq=1 ttl=64 time=0.166 ms
64 bytes from 192.168.11.210: icmp_seq=2 ttl=64 time=0.055 ms
64 bytes from 192.168.11.210: icmp_seq=3 ttl=64 time=0.043 ms
64 bytes from 192.168.11.210: icmp_seq=4 ttl=64 time=0.041 ms
64 bytes from 192.168.11.210: icmp_seq=5 ttl=64 time=0.038 ms
64 bytes from 192.168.11.210: icmp_seq=6 ttl=64 time=0.036 ms
64 bytes from 192.168.11.210: icmp_seq=7 ttl=64 time=0.050 ms
64 bytes from 192.168.11.210: icmp_seq=8 ttl=64 time=0.048 ms
64 bytes from 192.168.11.210: icmp_seq=9 ttl=64 time=0.035 ms
64 bytes from 192.168.11.210: icmp_seq=10 ttl=64 time=0.033 ms
64 bytes from 192.168.11.210: icmp_seq=11 ttl=64 time=0.047 ms
